一,one,yī
厶,private,sī
⺈,knife,dāo
小,small,xiǎo
下,under,xià
欠,owe,qiàn
夬,fork,guài
允,allow,yǔn
句,sentence,jù
兄,brother,xiōng
疒,sick,nè
本,this,běn
寺,temple,sì
匡,rectify,kuāng
束,bundle,shù
每,each,měi
串,string,chuàn
金,gold,jīn
幸,fortunately,xìng
妻,wife,qī
帛,silk,bó
禺,legendary monkey,yú
胡, outrageous,hú
倉,barn,cāng
息,news,xi
專,expert,zhuān
庶,numerous,shù
尞,fuel for sacrifice,liào
喿,chirping of birds,zào
嗇,stingy,sè
賣,sell,mài
丁,fourth,dīng
丸,pill/ball,wán
己,oneself,jǐ
三,three,sān
斤,axe,jīn
旡,kneeling,jì
勻,equal,yún
可,can,kě
冉,edge of tortoise-shell,rǎn
衤,clothes,yī
业,profession/thicket,yè
次,sequence,cì
延,prolong,yán
車,cart,chē
系,system,xì
囪,chimney,cōng
昔,the past,xī
臤,firm,qiān
卷,scroll,juǎn
建,build,jiàn
柬,card,jiǎn
咸,salty; together,xián
馬,horse,mǎ
奚,what? where? why?,xī
鹿,deer,lù
敕,decree,chì
焦,burnt,jiāo
詹,excellent/verbose,zhān
睘,lonely,qióng
巤,bristles,liè
乚,hidden,yǐn
七,seven,qī
口,mouth,kǒu
川,river,chuān
才,only; ability; talent,cái
巨,huge,jù
厄,distressed,è
石,stone,shí
冊,book,cè
㐱,bushy,zhěn
母,mother,mǔ
羊,sheep,yáng
安,peaceful,ān
向,to face,xiàng
足,foot,zú
攸,distant,yōu
易,to change,yì
坴,clod of earth,lù
念,read,niàn
罙,deep,shēn
面,face,miàn
咢,beat a drum,è
兼,and,jiān
芻,straw,chú
麻,hemp,má
堂,hall,táng
喬,tall,qiáo
僉,all,qiān
義,righteousness,yì
齒,tooth,chǐ
丩,to join,jiū
于,/n/ exhaled air; /v/ to go/take,yú
巛,river,chuān
卂,fly ,xùn
公,public,gōng
爿,piece of wood,pán
天,sky,tiān
白,white,bái
用,use,yòng
付,pay,fù
奴,slave,nú
共,together,gòng
屰,disobedient,nì
关,to close/turn off,guān
余,I,yú
告,to inform,gào
吾,I,wú
委,entrust/shift/accumulate,wěi
岡,ridge,gāng
具,tool / to provide,jù
咎,calamity,jiù
壴,drum,zhù
兹,now,cí
高,high,gāo
欮,hiccup,jué
啇,root,dì
鹵,halogen,lǔ
童,child,tóng
奧,mysterious,ào
感,to sense,gǎn
畾,field divided by dykes,léi
亏,deficiency,kuī
彡,hair,shān
尢,lame,yóu
父,father,fù
六,six,liù
去,to go,qù
皮,skin,pí
北,north,běi
癶,foot steps,bō
米,rice,mǐ
吅,to argue,xuān
百,hundred,bǎi
肖,similar,xiào
步,step,bù
卒,to die,cù
朋,friend,péng
卓,lofty,zhuō
臾,instant,yú
畐,full,fú
畏,fear,wèi
真,TRUE,zhēn
晉,promote,jìn
翏,wind sound,liù
參,ginseng,cān
無,no,wú
蜀,sichuan,shǔ
粲,beautiful,càn
樂,cheerful/music,lè
乙,second,yǐ
乂,to administer,yì
彳,left foot,chì
叉,fork,chā
及,make the most of,jí
方,square,fāng
爻,lines on a tangram,yáo
凶,fierce,xiōng
令,to order,lìng
生,to be born,shēng
氐,be low,dī
永,immortal,yǒng
舟,boat,zhōu
危,danger,wēi
死,to die,sǐ
言,speech,yán
夋,fleet-footed,qūn
吳,surname Wú,wú
卑,humble,bēi
直,straight,zhí
兔,rabbit,tù
妾,concubine,qiè
甚,very,shén
秋,autumn,qiū
員,employee,yuán
票,ticket,piào
從,From,cóng
尊,to respect,zūn
肅,respectful,sù
貇,chew,kūn
暴,violent,bào
丶,dot,zhǔ
𠂇,left hand,zuǒ
女,woman,nǚ
之,possessive; him/her/it,zhī
乇,/n/ blade of grass; /v/ to trust,tuō
毛,fur,máo
卬,I,áng
瓦,tile,wǎ
旦,dawn,dàn
正,positive,zhèng
民,citizen,mín
斥,blame,chì
孛,comet,bèi
列,column,liè
那,that/those,nà
貝,shell,bèi
旱,drought,hàn
門,door,mén
奇,odd,qí
匋,pottery,táo
枼,leaf,yè
叚,false ,jiǎ
益,beneficial,yì
區,Area,qū
尉,Wèi (name),wèi
發,to emit,fā
睪,to spy out,yì
黽,toad,miǎn
憂,to worry,yōu
丨,line,gǔn
冫,ice,bīng
夕,night,xī
廾,hands joined,gǒng
不,not,bù
歹,bad,dǎi
殳,spear,shū
冘,to go out,yín
目,eye,mù
甘,sweet,gān
占,Take up/observe,zhàn
代,generation,dài
光,Light,guāng
𢦏,to cut,zāi
夷,barbarians,yí
酉,wine bottle,yǒu
弟,younger brother,dì
甹,knight,pīng
雨,rain,yǔ
奄,suddenly,yǎn
昌,prosperous,chāng
品,products,pǐn
舁,to carry on shoulders,yú
禹,Yǔ the Great,yǔ
般,category,bān
脊,ridge,jí
曼,long,màn
執,to execute a plan,zhí
彭,Péng (name),péng
亶,sincere,dǎn
敫,jiǎo (musical instrument),jiǎo
龍,dragon,lóng
丿,slash,piě
匚,right open box,fāng
土,earth,tǔ
艹,grass,cao
丑,ugly,chǒu
戈,spear,gē
丰,plump/ear of grass,fēng
以,to use,yǐ
它,it,tā
玄,mysterious,xuán
另,another,lìng
臼,mortar,jiù
舛,mistaken,chuǎn
成,to make,chéng
享,enjoy,xiǎng
夆,to butt (as horned animals),féng
呆,stay,dāi
其,it,qí
侖,reasons,lún
匊,receive with both hands,jū
俞,to assent,shù
屋,house,wū
咠,whisper,qì
尃,to announce,fū
丵,thick (grass),zhuó
曹,class (of people),cáo
埶,art,yì
尌,to stand up,shù
當,to face,dāng
賓,guest,bīn
盧,black,lú
二,two,èr
亻,person,rén
士,scholar,shì
凡,ordinary,fán
中,in,zhōng
比,to compare,bǐ
壬,ninth,rén
巿,to revolve,fú
矛,spear,máo
瓜,melon,guā
冬,winter,dōng
缶,jar,fǒu
糸,silk,mì
㓞,engrave,qià
我,I,wǒ
㐬,pennant,liú
求,to beg,qiú
爭,to argue,zhēng
東,east,dōng
叔,uncle,shū
曷,why/how/when,hé
扁,flat,biǎn
匽,to hide,yǎn
害,to harm,hài
臬,rules,niè
貫,to pierce,guàn
敬,to respect,jìng
農,peasant,nóng
監,to supervise,jiān
歷,history,lì
了,to finish,le
入,to enter,rù
山,mountain,shān
㐄,to walk,kuà
予,to give,yǔ
爪,claw,zhǎo
午,afternoon,wǔ
化,to transform into,huà
禾,grain,hé
出,to emerge,chū
戉,halberd,yuè
各,each,gè
艮,mountain,gěn
廷,palace courtyard,tíng
灰,ash,huī
見,to see,jiàn
夾,to sandwich,jiā
希,to hope for,xī
非,wrong,fēi
炎,flame,yán
庚,age,gēng
复,to restore,fù
查,to examine,chá
思,to long for,sī
莫,nothing,mò
豈,surely not?,qǐ
章,rules,zhāng
奞,stride,xùn
巽,obedient,xùn
雍,harmonious,yōng
齊,even,qí
賴,to rely on,lài
乃,is,nǎi
阝,mound(left)/city(right),fù
